2025-11-26 08:40:29,661 [pool-18-IoTDB-Compaction-4] INFO  o.a.i.d.e.c.CompactionUtils:182 - root.test-5 [Compaction] delete TsFile ./../data/datanode/data/unsequence/root.test/5/2605/1764109303126-4-0-0.tsfile 
2025-11-26 08:40:29,661 [pool-18-IoTDB-Compaction-4] INFO  o.a.i.d.e.c.CompactionUtils:202 - root.test-5 [Compaction] Start to delete modifications of source files 
2025-11-26 08:40:29,661 [pool-18-IoTDB-Compaction-4] INFO  o.a.i.d.e.c.i.InnerSpaceCompactionTask:250 - root.test-5 [Compaction] InnerSpaceCompaction task finishes successfully, target file is 1764109303126-4-1-0.tsfile,time cost is 0.018 s, compaction speed is 0.13166003757052952 MB/s 
2025-11-26 09:02:27,855 [pool-26-IoTDB-DataNodeInternalRPC-Processor-2] INFO  o.a.i.d.e.c.CompactionRecoverManager:58 - recovering inner compaction 
2025-11-26 09:02:27,856 [pool-26-IoTDB-DataNodeInternalRPC-Processor-2] INFO  o.a.i.d.e.c.CompactionRecoverManager:58 - recovering inner compaction 
2025-11-26 09:02:27,856 [pool-26-IoTDB-DataNodeInternalRPC-Processor-2] INFO  o.a.i.d.e.c.CompactionRecoverManager:64 - recovering cross compaction 
2025-11-26 09:02:57,591 [pool-26-IoTDB-DataNodeInternalRPC-Processor-2] INFO  o.a.i.d.e.c.CompactionRecoverManager:58 - recovering inner compaction 
2025-11-26 09:02:57,591 [pool-26-IoTDB-DataNodeInternalRPC-Processor-2] INFO  o.a.i.d.e.c.CompactionRecoverManager:58 - recovering inner compaction 
2025-11-26 09:02:57,592 [pool-26-IoTDB-DataNodeInternalRPC-Processor-2] INFO  o.a.i.d.e.c.CompactionRecoverManager:64 - recovering cross compaction 
2025-11-26 09:03:21,915 [pool-26-IoTDB-DataNodeInternalRPC-Processor-2] INFO  o.a.i.d.e.c.CompactionRecoverManager:58 - recovering inner compaction 
2025-11-26 09:03:21,915 [pool-26-IoTDB-DataNodeInternalRPC-Processor-2] INFO  o.a.i.d.e.c.CompactionRecoverManager:58 - recovering inner compaction 
2025-11-26 09:03:21,916 [pool-26-IoTDB-DataNodeInternalRPC-Processor-2] INFO  o.a.i.d.e.c.CompactionRecoverManager:64 - recovering cross compaction 
2025-11-26 09:03:40,568 [pool-26-IoTDB-DataNodeInternalRPC-Processor-2] INFO  o.a.i.d.e.c.CompactionRecoverManager:58 - recovering inner compaction 
2025-11-26 09:03:40,568 [pool-26-IoTDB-DataNodeInternalRPC-Processor-2] INFO  o.a.i.d.e.c.CompactionRecoverManager:58 - recovering inner compaction 
2025-11-26 09:03:40,568 [pool-26-IoTDB-DataNodeInternalRPC-Processor-2] INFO  o.a.i.d.e.c.CompactionRecoverManager:64 - recovering cross compaction 
2025-11-26 09:03:50,538 [pool-26-IoTDB-DataNodeInternalRPC-Processor-9] INFO  o.a.i.d.e.c.CompactionRecoverManager:58 - recovering inner compaction 
2025-11-26 09:03:50,539 [pool-26-IoTDB-DataNodeInternalRPC-Processor-9] INFO  o.a.i.d.e.c.CompactionRecoverManager:58 - recovering inner compaction 
2025-11-26 09:03:50,539 [pool-26-IoTDB-DataNodeInternalRPC-Processor-9] INFO  o.a.i.d.e.c.CompactionRecoverManager:64 - recovering cross compaction 
2025-11-26 09:04:00,375 [pool-26-IoTDB-DataNodeInternalRPC-Processor-9] INFO  o.a.i.d.e.c.CompactionRecoverManager:58 - recovering inner compaction 
2025-11-26 09:04:00,375 [pool-26-IoTDB-DataNodeInternalRPC-Processor-9] INFO  o.a.i.d.e.c.CompactionRecoverManager:58 - recovering inner compaction 
2025-11-26 09:04:00,375 [pool-26-IoTDB-DataNodeInternalRPC-Processor-9] INFO  o.a.i.d.e.c.CompactionRecoverManager:64 - recovering cross compaction 
