Input Direction,Data Type,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Compressed Size,Compression Ratio
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,PLAIN,SNAPPY,607318,219890,61153,37320,24254.0,0.06063439365606348
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,TS_2DIFF,UNCOMPRESSED,444169,388804,18,24,23783.0,0.05945690543094572
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,TS_2DIFF,LZ4,450570,409935,18401,42599,6398.0,0.015994840051599468
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,TS_2DIFF,GZIP,458623,346917,422951,63782,3033.0,0.007582424175758235
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,TS_2DIFF,SNAPPY,459540,343753,23000,8480,5389.0,0.01347236527634722
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,RLE,UNCOMPRESSED,773748,313213,31,35,7336.0,0.018339816601834005
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,RLE,LZ4,665218,301218,9888,13265,4569.0,0.011422385776142232
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,RLE,GZIP,712307,315354,264461,35777,2778.0,0.0069449305506945015
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,RLE,SNAPPY,675469,306921,10979,5092,4343.0,0.010857391426085732
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,SPRINTZ,UNCOMPRESSED,1469210,634026,25,26,34472.0,0.08617913820861793
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,SPRINTZ,LZ4,1451509,630821,15345,18684,5970.0,0.014924850751492493
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,SPRINTZ,GZIP,1472116,628141,334352,66310,2924.0,0.007309926900730996
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,SPRINTZ,SNAPPY,1449104,625657,16123,7433,5549.0,0.013872361276387244
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,GORILLA,UNCOMPRESSED,371451,286432,18,21,13870.0,0.034674653253467434
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,GORILLA,LZ4,371925,285785,8588,11599,4091.0,0.010227397726022729
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,GORILLA,GZIP,371929,287404,136703,36192,2519.0,0.006297437025629738
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,GORILLA,SNAPPY,369619,286275,8938,4703,3717.0,0.009292407075929252
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,RLBE,UNCOMPRESSED,4532039,547340,265,238,21498.0,0.053744462555374455
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,RLBE,LZ4,3678564,462794,21766,23732,7037.0,0.017592324076759248
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,RLBE,GZIP,3435049,451692,432488,69998,4522.0,0.011304886951130484
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,RLBE,SNAPPY,5103913,615195,56208,13319,6761.0,0.016902330976690243
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,RAKE,UNCOMPRESSED,27345696,2955,733,337,200002.0,0.5
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,RAKE,LZ4,27284774,1104,37774,56769,8040.0,0.02009979900200998
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,RAKE,GZIP,26921129,49,896362,350442,3079.0,0.007697423025769752
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,RAKE,SNAPPY,27389931,81,43163,22775,14019.0,0.03504714952850473
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,BUFF,UNCOMPRESSED,759875,338839,21,15,25017.0,0.06254187458125415
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,BUFF,LZ4,741690,338888,11028,14910,4387.0,0.010967390326096732
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,BUFF,GZIP,726629,338636,264153,49052,2255.0,0.005637443625563739
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,BUFF,SNAPPY,726649,338409,11402,6979,4043.0,0.010107398926010747
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,CHIMP,UNCOMPRESSED,718455,630203,54,59,100125.0,0.2503099969000308
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,CHIMP,LZ4,607997,558791,38356,44708,11460.0,0.028649713502864955
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,CHIMP,GZIP,602268,558525,511652,169307,8147.0,0.02036729632703672
./Datasets/Real-World/Numerical/INT32/data/7.csv,INT32,CHIMP,SNAPPY,600941,556572,25855,12649,15023.0,0.03755712442875575
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,PLAIN,UNCOMPRESSED,583872,205853,15,16,400004.0,1.0
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,PLAIN,LZ4,646839,213048,440811,618565,128124.0,0.32030679693203046
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,PLAIN,GZIP,592077,201013,10889148,1231828,78506.0,0.19626303736962625
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,PLAIN,SNAPPY,578565,207095,497865,227105,142563.0,0.3564039359606405
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,TS_2DIFF,UNCOMPRESSED,517067,405948,20,19,71104.0,0.1777582224177757
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,TS_2DIFF,LZ4,531750,437274,55783,250682,60233.0,0.15058099419005802
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,TS_2DIFF,GZIP,578077,413101,1741882,449746,51271.0,0.12817621823781766
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,TS_2DIFF,SNAPPY,520560,381589,64140,20222,59268.0,0.1481685183148169
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,RLE,UNCOMPRESSED,1318501,560400,395,75,335037.0,0.8375841241587588
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,RLE,LZ4,1425156,566924,392650,490051,130139.0,0.3253442465575345
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,RLE,GZIP,1343193,584562,11436940,1214559,81117.0,0.20279047209527884
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,RLE,SNAPPY,1274984,555463,502099,233066,144047.0,0.3601138988610112
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,SPRINTZ,UNCOMPRESSED,2010921,692377,20,20,76355.0,0.19088559114408865
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,SPRINTZ,LZ4,2091264,706420,64986,204191,62146.0,0.15536344636553623
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,SPRINTZ,GZIP,2017634,703837,2288636,478882,49194.0,0.12298377016229826
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,SPRINTZ,SNAPPY,2027767,688019,74570,31119,61902.0,0.15475345246547526
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,GORILLA,UNCOMPRESSED,923854,742941,11,19,221467.0,0.5536619633803667
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,GORILLA,LZ4,950261,759754,311428,393448,107906.0,0.2697623023769764
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,GORILLA,GZIP,895949,761345,15605456,1019707,76573.0,0.19143058569414306
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,GORILLA,SNAPPY,855045,753030,420824,146915,116360.0,0.29089709102908945
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,RLBE,UNCOMPRESSED,30563759,1357135,147,141,143775.0,0.35943390566094313
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,RLBE,LZ4,29255235,1328018,227093,239876,82522.0,0.20630293697063012
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,RLBE,GZIP,31026987,1445209,6133030,736602,59852.0,0.14962850371496292
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,RLBE,SNAPPY,34612901,1444845,385774,116893,83269.0,0.20817041829581678
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,RAKE,UNCOMPRESSED,23727252,277,234,186,651029.0,1.6275562244377546
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,RAKE,LZ4,23985424,579,579133,617512,160161.0,0.4003984960150398
