Encoding,Compression Ratio
GORILLA,0.31059771451270557
PLAIN,0.8307860783967541
RAKE,1.0
RLBE,0.45154817880477444
RLE,0.15291760791797657
SPRINTZ,0.2834462426918589
TS_2DIFF,0.0
