Encoding Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Compression Ratio,Encoding_sort
TS_2DIFF,1.0,0.8120159920505869,1.0,1.0,1.0,0
GORILLA,0.996500370170658,0.6303708728634128,0.8366397082465696,0.3307541652776227,0.23230724186334373,1
RAKE,0.37238364390907863,1.0,0.0,0.0,0.0,2
RLE,0.9860259244330086,0.721375647990852,0.712473439927765,0.7559666318529317,0.7958281764769702,3
RLBE,0.0,0.0,0.45139973252462584,0.39140322078021306,0.07346844798067864,4
SPRINTZ,0.969440397392951,0.615121251346959,0.6958413585212406,0.5102257683754388,0.4615222354160128,5
PLAIN,0.9921597120905835,0.8649736413968501,0.3439171893276134,0.09922633340855591,0.21255023405657325,6
