Encoding Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Compression Ratio,Encoding_sort
TS_2DIFF,1.0,0.8425802436201026,1.0,1.0,1.0,0
GORILLA,0.9950898943043792,0.7291778062708617,0.901599362807614,0.8718665768556029,0.23915453714832224,1
RAKE,0.3751401335117247,1.0,0.0,0.0,0.0,2
RLE,0.9848025078366679,0.7303402983692386,0.7491600177177696,0.6719409180710388,0.8266766668574848,3
RLBE,0.0,0.0,0.5007395889832432,0.5190130881362378,0.07005161155099238,4
SPRINTZ,0.9726591685716682,0.6876631717803083,0.766843365833312,0.7199749044683152,0.46812213556458504,5
PLAIN,0.9955106011441319,0.9133243681607403,0.47631011786962874,0.38798830737299406,0.2438692644907603,6
