Encoding,Compression Ratio
GORILLA,0.7676927581366563
PLAIN,0.7874497659434267
RAKE,1.0
RLBE,0.9265315520193214
RLE,0.20417182352302976
SPRINTZ,0.5384777645839872
TS_2DIFF,0.0
