Encoding,Compression Ratio
GORILLA,0.7608454628516778
PLAIN,0.7561307355092397
RAKE,1.0
RLBE,0.9299483884490076
RLE,0.17332333314251525
SPRINTZ,0.531877864435415
TS_2DIFF,0.0
