Encoding Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Compression Ratio,Encoding_sort
TS_2DIFF,1.0,0.8195307434751792,1.0,1.0,1.0,0
GORILLA,0.9972099303298029,0.7282084401620459,0.47855912357512587,0.36802816333884336,0.11061330846463269,1
RAKE,0.3748214415900284,1.0,0.0,0.0,0.1715966002852225,2
RLE,0.9870528244446105,0.729825807334401,0.6878425936801595,0.7642633458883512,0.8815231037957063,3
RLBE,0.0,0.0,0.5102872191794182,0.28554570431530435,0.0,4
SPRINTZ,0.973653605783773,0.6743696277263567,0.714197344480647,0.5326459747908496,0.43331737569976003,5
PLAIN,0.9953465152010825,0.8911496207757609,0.45549275706009773,0.2716255822655238,0.3868878463934735,6
